type,bw,lat,size,id
D2H-Pinned,2.32477,0.00011,262144,1
D2H-Pinned,2.48439,0.00021,524288,1
D2H-Pinned,2.65951,0.00039,1048576,1
D2H-Pinned,2.86809,0.00073,2097152,1
D2H-Pinned,2.85952,0.00147,4194304,1
D2H-Pinned,2.95473,0.00284,8388608,1
D2H-Pinned,2.95717,0.00567,16777216,1
D2H-Pinned,2.96895,0.01130,33554432,1
D2H-Pinned,2.95883,0.02268,67108864,1
D2H-Pinned,2.91183,0.04609,134217728,1
D2H-Pinned,2.52293,0.10640,268435456,1
D2H-Pinned,2.25248,0.23835,536870912,1
D2H-Pinned,2.31766,0.46329,1073741824,1
D2H-Pinned,0.00303,0.00002,64,1
D2H-Pinned,0.00586,0.00002,128,1
D2H-Pinned,0.01164,0.00002,256,1
D2H-Pinned,0.02312,0.00002,512,1
D2H-Pinned,0.04756,0.00002,1024,1
D2H-Pinned,0.09111,0.00002,2048,1
D2H-Pinned,0.17703,0.00002,4096,1
D2H-Pinned,0.33262,0.00002,8192,1
D2H-Pinned,0.58848,0.00003,16384,1
D2H-Pinned,0.97831,0.00003,32768,1
D2H-Pinned,1.34396,0.00005,65536,1
D2H-Pinned,1.96164,0.00007,131072,1
D2H-Pinned,2.34185,0.00011,262144,1
D2H-Pinned,2.62254,0.00020,524288,1
D2H-Pinned,2.77441,0.00038,1048576,1
D2H-Pinned,2.76370,0.00076,2097152,1
D2H-Pinned,2.93199,0.00143,4194304,1
D2H-Pinned,2.92317,0.00287,8388608,1
D2H-Pinned,2.95731,0.00567,16777216,1
D2H-Pinned,2.96437,0.01132,33554432,1
D2H-Pinned,2.97537,0.02255,67108864,1
D2H-Pinned,2.78637,0.04817,134217728,1
D2H-Pinned,2.62436,0.10229,268435456,1
D2H-Pinned,2.37714,0.22585,536870912,1
D2H-Pinned,2.33264,0.46031,1073741824,1
D2H-Pinned,0.00295,0.00002,64,1
D2H-Pinned,0.00595,0.00002,128,1
D2H-Pinned,0.01116,0.00002,256,1
D2H-Pinned,0.02317,0.00002,512,1
D2H-Pinned,0.04927,0.00002,1024,1
D2H-Pinned,0.09485,0.00002,2048,1
D2H-Pinned,0.18288,0.00002,4096,1
D2H-Pinned,0.31639,0.00003,8192,1
D2H-Pinned,0.61210,0.00003,16384,1
D2H-Pinned,1.00273,0.00003,32768,1
D2H-Pinned,1.45004,0.00005,65536,1
D2H-Pinned,1.98693,0.00007,131072,1
D2H-Pinned,2.33864,0.00011,262144,1
D2H-Pinned,2.66711,0.00020,524288,1
D2H-Pinned,2.84400,0.00037,1048576,1
D2H-Pinned,2.79946,0.00075,2097152,1
D2H-Pinned,3.02998,0.00138,4194304,1
D2H-Pinned,2.98503,0.00281,8388608,1
D2H-Pinned,3.10679,0.00540,16777216,1
D2H-Pinned,3.13071,0.01072,33554432,1
D2H-Pinned,2.87621,0.02333,67108864,1
D2H-Pinned,2.93597,0.04571,134217728,1
D2H-Pinned,2.54327,0.10555,268435456,1
D2H-Pinned,2.30430,0.23299,536870912,1
D2H-Pinned,2.37910,0.45132,1073741824,1
D2H-Pinned,0.00293,0.00002,64,1
D2H-Pinned,0.00587,0.00002,128,1
D2H-Pinned,0.01224,0.00002,256,1
D2H-Pinned,0.02388,0.00002,512,1
D2H-Pinned,0.04764,0.00002,1024,1
D2H-Pinned,0.09090,0.00002,2048,1
D2H-Pinned,0.17863,0.00002,4096,1
D2H-Pinned,0.33025,0.00002,8192,1
D2H-Pinned,0.58838,0.00003,16384,1
D2H-Pinned,0.94774,0.00003,32768,1
