type,bw,lat,size,id
D2H-Paged,0.03957,0.00005,2048,1
D2H-Paged,0.08409,0.00005,4096,1
D2H-Paged,0.14592,0.00006,8192,1
D2H-Paged,0.29468,0.00006,16384,1
D2H-Paged,0.50012,0.00007,32768,1
D2H-Paged,0.68295,0.00010,65536,1
D2H-Paged,0.93323,0.00014,131072,1
D2H-Paged,1.45224,0.00018,262144,1
D2H-Paged,1.82469,0.00029,524288,1
D2H-Paged,2.25016,0.00047,1048576,1
D2H-Paged,2.27533,0.00092,2097152,1
D2H-Paged,2.54308,0.00165,4194304,1
D2H-Paged,2.68821,0.00312,8388608,1
D2H-Paged,2.69433,0.00623,16777216,1
D2H-Paged,2.65943,0.01262,33554432,1
D2H-Paged,2.56054,0.02621,67108864,1
D2H-Paged,2.52753,0.05310,134217728,1
D2H-Paged,2.44418,0.10983,268435456,1
D2H-Paged,2.42087,0.22177,536870912,1
D2H-Paged,2.41699,0.44425,1073741824,1
