type,bw,lat,size,id
D2H-Paged,5.05484,0.00003,131072,1
D2H-Paged,6.71992,0.00004,262144,1
D2H-Paged,7.81120,0.00007,524288,1
D2H-Paged,8.56610,0.00012,1048576,1
D2H-Paged,9.97884,0.00021,2097152,1
D2H-Paged,10.65004,0.00039,4194304,1
D2H-Paged,12.03393,0.00070,8388608,1
D2H-Paged,12.15785,0.00138,16777216,1
D2H-Paged,12.80982,0.00262,33554432,1
D2H-Paged,12.42474,0.00540,67108864,1
D2H-Paged,12.33286,0.01088,134217728,1
D2H-Paged,12.65868,0.02121,268435456,1
D2H-Paged,13.04593,0.04115,536870912,1
D2H-Paged,12.49822,0.08591,1073741824,1
D2H-Paged,0.00532,0.00001,64,1
D2H-Paged,0.01095,0.00001,128,1
D2H-Paged,0.02218,0.00001,256,1
D2H-Paged,0.04328,0.00001,512,1
D2H-Paged,0.08843,0.00001,1024,1
D2H-Paged,0.17400,0.00001,2048,1
D2H-Paged,0.33907,0.00001,4096,1
D2H-Paged,0.65905,0.00001,8192,1
D2H-Paged,1.27106,0.00001,16384,1
D2H-Paged,2.16005,0.00002,32768,1
D2H-Paged,3.57534,0.00002,65536,1
D2H-Paged,5.17049,0.00003,131072,1
D2H-Paged,6.22670,0.00004,262144,1
D2H-Paged,8.16013,0.00006,524288,1
D2H-Paged,8.93318,0.00012,1048576,1
D2H-Paged,9.40174,0.00022,2097152,1
D2H-Paged,11.17647,0.00038,4194304,1
D2H-Paged,12.58379,0.00067,8388608,1
D2H-Paged,9.99798,0.00168,16777216,1
D2H-Paged,13.16676,0.00255,33554432,1
D2H-Paged,13.19955,0.00508,67108864,1
D2H-Paged,13.32188,0.01007,134217728,1
D2H-Paged,13.16687,0.02039,268435456,1
D2H-Paged,13.82087,0.03884,536870912,1
D2H-Paged,13.66632,0.07857,1073741824,1
D2H-Paged,0.00551,0.00001,64,1
D2H-Paged,0.01105,0.00001,128,1
D2H-Paged,0.02188,0.00001,256,1
D2H-Paged,0.04332,0.00001,512,1
D2H-Paged,0.08797,0.00001,1024,1
D2H-Paged,0.16280,0.00001,2048,1
D2H-Paged,0.33519,0.00001,4096,1
D2H-Paged,0.64657,0.00001,8192,1
D2H-Paged,1.24309,0.00001,16384,1
D2H-Paged,2.20660,0.00001,32768,1
D2H-Paged,3.52534,0.00002,65536,1
D2H-Paged,5.08622,0.00003,131072,1
