Backend	Model	batch_size	input_length	CC_mode	load_time	gen_time	ttft	thruput	real
vllm	nonquant	8	512	on	29.41043495	1.641377886	0.200503087	38.99163047	731.0930714
vllm	nonquant	8	1024	off	22.75130855	1.904558109	0.372243019	33.60359534	630.0674127
vllm	nonquant	8	1024	on	29.17922902	1.842358826	0.381283985	34.7380755	651.3389157
vllm	nonquant	16	128	off	22.70103001	1.679844546	0.107935668	152.3950538	1428.70363
vllm	nonquant	16	128	on	29.39914163	1.83677941	0.113169457	139.3743846	1306.634856
vllm	nonquant	16	256	off	22.84814355	1.78233033	0.196478627	143.6321852	1346.551736
vllm	nonquant	16	256	on	29.06212329	1.947423275	0.202212923	131.4557566	1232.397718
vllm	nonquant	16	512	off	22.81656381	1.973967564	0.371796499	129.6880479	1215.825449
vllm	nonquant	16	512	on	28.99273733	2.14435015	0.377284003	119.3834878	1119.220198
vllm	nonquant	16	1024	off	22.77665674	2.394541714	0.71864969	106.9098101	1002.27947
vllm	nonquant	16	1024	on	28.90982096	2.578704215	0.731497962	99.27466613	930.699995
vllm	nonquant	32	128	off	22.99363841	1.951432284	0.202185395	524.7427791	2459.731777
vllm	nonquant	32	128	on	29.25102425	2.120968676	0.209144786	482.7982665	2263.116874
vllm	nonquant	32	256	off	23.05886827	2.160154173	0.380673076	474.0402388	2222.063619
vllm	nonquant	32	256	on	29.01729085	2.322783567	0.386521214	440.8503722	2066.48612
vllm	nonquant	32	512	off	23.02619198	2.571913957	0.714153455	398.1470676	1866.314379
vllm	nonquant	32	512	on	28.99675928	2.72774461	0.724343182	375.4017133	1759.695531
vllm	nonquant	32	1024	off	22.84475776	3.391775424	1.471574115	301.906781	1415.188036
vllm	nonquant	32	1024	on	29.02905025	3.565600132	1.487958509	287.1886813	1346.196944
vllm	nonquant	64	128	off	22.96464371	2.514966597	0.381773344	1628.649862	3817.148113
vllm	nonquant	64	128	on	29.03048522	2.6864009	0.38996706	1524.716583	3573.554491
vllm	nonquant	64	256	off	23.08406509	2.913964017	0.724064678	1405.64536	3294.481313
vllm	nonquant	64	256	on	29.0374902	3.093667232	0.736245865	1323.995017	3103.113322
vllm	nonquant	64	512	off	22.70342068	3.736270151	1.45442456	1096.280471	2569.407353
vllm	nonquant	64	512	on	29.2602974	3.923896225	1.476549383	1043.86043	2446.547882
vllm	nonquant	64	1024	off	22.98851348	5.470549983	2.92543021	748.7364182	1754.85098
vllm	nonquant	64	1024	on	29.36917847	5.646081355	2.947959853	725.4589055	1700.29431
vllm	nonquant	128	128	off	22.97942884	3.546819636	0.927103386	4619.349638	5413.300357
vllm	nonquant	128	128	on	29.33608631	3.940253827	0.746458904	4158.107756	4872.782527
vllm	nonquant	128	256	off	23.01669671	4.409468677	1.644727359	3715.640409	4354.266105
vllm	nonquant	128	256	on	29.01810568	4.796290776	1.482050207	3415.973044	4003.09341
vllm	nonquant	128	512	off	22.80856812	6.318380763	2.893988472	2593.069429	3038.753238
vllm	nonquant	128	512	on	29.02407034	6.453464024	2.917459087	2538.79156	2975.14636
vllm	nonquant	128	1024	off	22.83790976	9.830162254	5.823675049	1666.706976	1953.172237
vllm	nonquant	128	1024	on	29.23616204	9.951203583	5.878163718	1646.434008	1929.414853
vllm	quant	1	128	off	22.45045347	0.930667131	0.037205353	1.074498031	161.1747047
vllm	quant	1	128	on	25.95987132	1.088273713	0.047331819	0.918886479	137.8329718
vllm	quant	1	256	off	22.69158429	0.938797778	0.038422803	1.065192125	159.7788187
vllm	quant	1	256	on	26.01543991	1.084029579	0.050725861	0.922484053	138.372608
vllm	quant	1	512	off	22.34234822	0.953662495	0.052364698	1.048588998	157.2883497
vllm	quant	1	512	on	26.07076039	1.099495468	0.057077864	0.909508069	136.4262104
vllm	quant	1	1024	off	22.35972275	1.006988981	0.092685511	0.993059526	148.9589289
vllm	quant	1	1024	on	25.77163485	1.142118163	0.096392561	0.875566148	131.3349221
vllm	quant	2	128	off	22.26741109	0.932207814	0.038773944	4.290888727	321.8166545
vllm	quant	2	128	on	25.77977155	1.076482935	0.049247664	3.715804375	278.6853282
vllm	quant	2	256	off	22.30686408	0.953356068	0.052954175	4.195704139	314.6778104
vllm	quant	2	256	on	26.26899231	1.102131467	0.058744869	3.629331091	272.1998319
vllm	quant	2	512	off	22.60216264	1.003107469	0.093208293	3.98760863	299.0706472
vllm	quant	2	512	on	25.94710434	1.144148468	0.098023634	3.49604978	262.2037335
vllm	quant	2	1024	off	22.57907846	1.076073721	0.171159386	3.717217438	278.7913078
vllm	quant	2	1024	on	25.96877698	1.247863731	0.175851067	3.205478211	240.4108658
vllm	quant	4	128	off	22.26232523	0.969440762	0.05337402	16.50436069	618.9135257
vllm	quant	4	128	on	26.20240609	1.113687589	0.057386729	14.3666861	538.7507286
vllm	quant	4	256	off	22.32586113	1.012922202	0.093723732	15.79588242	592.3455906
vllm	quant	4	256	on	26.29497126	1.16777374	0.097934346	13.70128429	513.7981609
vllm	quant	4	512	off	22.58392333	1.093732796	0.170960051	14.62880153	548.5800574
vllm	quant	4	512	on	25.99111706	1.239835667	0.175352555	12.90493605	483.935102
vllm	quant	4	1024	off	22.3759087	1.268794378	0.327082789	12.61039636	472.8898633
vllm	quant	4	1024	on	26.18657456	1.412696906	0.332469439	11.32585478	424.7195541
vllm	quant	8	128	off	22.28280868	1.052879185	0.094087303	60.78570164	1139.731906
vllm	quant	8	128	on	26.05721751	1.217655249	0.099371801	52.56003294	985.5006177
vllm	quant	8	256	off	22.82716532	1.138090041	0.167923274	56.23456642	1054.39812
