API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
380071893,4465,380076358,8293988622,8674064980,102399783,8396392870,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380076646,5016,380081662,8396384253,8776465915,102399686,8498788955,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380081893,6062,380087955,8498778734,8878866689,102399752,8601184548,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380088185,5117,380093302,8601174259,8981267561,102399718,8703579094,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380093533,4951,380098484,8703569947,9083668431,102399687,8805974585,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380098711,4782,380103493,8805965649,9186069142,102399814,8908370245,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380103778,4196,380107974,8908362166,9288470140,102399656,9010766018,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380108205,5251,380113456,9010757364,9390870820,102399814,9113162429,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380113687,5009,380118696,9113153026,9493271722,102399751,9215557786,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380118962,4870,380123832,9215548665,9595672497,102399814,9317953349,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380124115,4968,380129083,9317944252,9698073335,102399816,9420349036,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380129370,4083,380133453,9420340689,9800474142,102399847,9522744619,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380133711,4516,380138227,9522736818,9902875045,102399783,9625141117,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380138551,8719,380147270,9625128646,10005275916,102399750,9727537115,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380147530,5503,380153033,9727523657,10107676690,102399813,9829928973,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380153279,5940,380159219,9829918340,10210077559,102399782,9932324062,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380159507,3992,380163499,9932314962,10312478461,102399717,10034718671,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380163745,4482,380168227,10034711039,10414879266,102399749,10137115270,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380168467,5859,380174326,10137105713,10517280039,102399813,10239511385,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
10619679908,89382,10619769290,9378,10619778668,102399301,102498061,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619770020,6545,10619776565,102402524,10722179089,102399717,204808786,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619777024,6435,10619783459,204796531,10824579990,102399654,307202620,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619783770,5354,10619789124,307191608,10926980732,102399749,409596711,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619789426,5300,10619794726,409586939,11029381665,102399653,511991892,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619795037,7015,10619802052,511980450,11131782502,102399653,614387118,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619802317,4099,10619806416,614376891,11234183307,102399686,716780676,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619806691,6113,10619812804,716771213,11336584017,102399814,819177140,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619813067,5326,10619818393,819166558,11438984951,102399717,921571601,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619818625,4378,10619823003,921562817,11541385820,102399685,1023966880,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619823390,5066,10619828456,1023958137,11643786593,102399750,1126362953,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619828820,4880,10619833700,1126353699,11746187399,102399781,1228758360,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619833933,5720,10619839653,1228748999,11848588652,102399365,1331154084,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619839884,5475,10619845359,1331143778,11950989137,102399717,1433548970,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619845587,5044,10619850631,1433539215,12053389846,102399849,1535944108,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619850859,4760,10619855619,1535935067,12155790686,102399850,1638339677,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619855855,4884,10619860739,1638330917,12258191656,102399720,1740735521,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619860971,4876,10619865847,1740726521,12360592368,102399848,1843131245,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619866077,5410,10619871487,1843121913,12462993400,102399657,1945526980,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619871718,10595,10619882313,1945511960,12565394273,102399625,2047922180,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619882543,4755,10619887298,2047907848,12667795146,102399593,2150312196,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619887526,3797,10619891323,2150304600,12770195923,102399656,2252708053,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619891601,4334,10619895935,2252700796,12872596731,102399688,2355104818,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619896217,5088,10619901305,2355096554,12974997859,102399402,2457501044,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
